Identifier,State,Town,University
57,Connecticut,New Haven,"Yale University, University of New Haven, Southern Connecticut State University, Albertus Magnus College, Quinnipiac University"
58,Connecticut,New London,"Connecticut College, US Coast Guard Academy, Mitchell College"
59,Connecticut,Storrs,University of Connecticut
60,Connecticut,Willimantic,Eastern Connecticut State University
61,Delaware,Dover,Delaware State University
62,Delaware,Newark,University of Delaware
63,Florida,Ave Maria,Ave Maria University
64,Florida,Boca Raton,Florida Atlantic University
65,Florida,Coral Gables,University of Miami
66,Florida,DeLand,Stetson University
67,Florida,Estero,Florida Gulf Coast University
68,Florida,Gainesville,"University of Florida, Santa Fe College"
69,Florida,Orlando,University of Central Florida
70,Florida,Sarasota,"New College of Florida, Ringling College of Art and Design, State College of Florida, Manatee-Sarasota, University of South Florida Sarasota-Manatee"
71,Florida,St. Augustine,Flagler College
72,Florida,St. Leo,St. Leo University
73,Florida,Tallahassee,"Florida State University, Florida A&M University"
74,Florida,Tampa,University of South Florida
75,Georgia,Albany,Albany State University
76,Georgia,Athens,University of Georgia
77,Georgia,Atlanta,"Georgia State University, Georgia Tech, Emory"
78,Georgia,Carrollton,University of West Georgia*Dahlonega
79,Georgia,Demorest,Piedmont College
80,Georgia,Fort Valley,Fort Valley State University
81,Georgia,Kennesaw,Kennesaw State University
82,Georgia,Milledgeville,Georgia College & State University
83,Georgia,Mount Vernon,Brewton-Parker College
84,Georgia,Oxford,Oxford College
85,Georgia,Rome,"Berry College, Shorter University"
86,Georgia,Savannah,"Armstrong Atlantic State University, Savannah State University, Savannah College of Art and Design"
87,Georgia,Statesboro,Georgia Southern University
88,Georgia,Valdosta,Valdosta State University
89,Georgia,Waleska,Reinhardt College
90,Georgia,Young Harris,Young Harris College
91,Hawaii,Manoa,University of Hawaii at Manoa
92,Idaho,Moscow,University of Idaho
93,Idaho,Pocatello,Idaho State University
94,Idaho,Rexburg,BYU-Idaho
95,Illinois,Carbondale,Southern Illinois University Carbondale
96,Illinois,Champaign–Urbana,University of Illinois at Urbana–Champaign
97,Illinois,Charleston,Eastern Illinois University
98,Illinois,DeKalb,Northern Illinois University
99,Illinois,Edwardsville,Southern Illinois University Edwardsville
100,Illinois,Evanston,Northwestern University
101,Illinois,Lebanon,McKendree University
102,Illinois,Macomb,Western Illinois University
103,Illinois,Normal,Illinois State University
104,Illinois,Peoria,Bradley University
105,Indiana,Bloomington,Indiana University Bloomington
106,Indiana,Crawfordsville,Wabash College
107,Indiana,Greencastle,DePauw University
108,Indiana,Hanover,Hanover College
109,Indiana,Marion,Indiana Wesleyan University
110,Indiana,Muncie,Ball State University
111,Indiana,Oakland City,Oakland City University
112,Indiana,Richmond,Earlham College
113,Indiana,South Bend,Notre Dame University
114,Indiana,Terre Haute,"Indiana State University, Rose-Hulman Institute of Technology"
115,Indiana,Upland,Taylor University
116,Indiana,Valparaiso,Valparaiso University
117,Indiana,West Lafayette,Purdue University
118,Iowa,Ames,Iowa State University
119,Iowa,Cedar Falls,University of Northern Iowa
120,Iowa,"Cedar Rapids, Iowa",Coe College
121,Iowa,Decorah,Luther College
122,Iowa,Fayette,Upper Iowa University
123,Iowa,Grinnell,Grinnell College
124,Iowa,Iowa City,University of Iowa
125,Iowa,Lamoni,Graceland University
126,Iowa,"Mount Vernon,",Cornell College
127,Iowa,Orange City,Northwestern College
128,Iowa,Sioux Center,Dordt College
129,Iowa,Storm Lake,Buena Vista University
130,Iowa,Waverly,Wartburg College
131,Kansas,Baldwin City,Baker University
132,Kansas,Emporia,Emporia State University
133,Kansas,Hays,Fort Hays State University
134,Kansas,Lawrence,"University of Kansas, Haskell Indian Nations University"
135,Kansas,Manhattan,"Kansas State University, Manhattan Christian College"
136,Kansas,Pittsburg,Pittsburg State University
137,Kentucky,Bowling Green,Western Kentucky University
138,Kentucky,Columbia,Lindsey Wilson College
139,Kentucky,Georgetown,Georgetown College
140,Kentucky,Highland Heights,Northern Kentucky University
141,Kentucky,Lexington,"University of Kentucky, Transylvania University"
142,Kentucky,Louisville,University of Louisville
143,Kentucky,Morehead,Morehead State University
144,Kentucky,Murray,Murray State University
145,Kentucky,Richmond,Eastern Kentucky University
146,Kentucky,Williamsburg,University of the Cumberlands
147,Kentucky,Wilmore,"Asbury University, Asbury Theological Seminary"
148,Louisiana,Baton Rouge,"Louisiana State University, Southern University"
149,Louisiana,Grambling,Grambling State University
150,Louisiana,Hammond,Southeastern Louisiana University
151,Louisiana,Lafayette,University of Louisiana at Lafayette
152,Louisiana,Monroe,University of Louisiana at Monroe
153,Louisiana,Natchitoches,Northwestern State University
154,Louisiana,Ruston,Louisiana Tech University
155,Louisiana,Thibodaux,Nicholls State University
156,Maine,Augusta,University of Maine at Augusta
157,Maine,Bar Harbor,College of the Atlantic
158,Maine,Brunswick,Bowdoin College
159,Maine,Farmington,University of Maine at Farmington
160,Maine,Fort Kent,University of Maine at Fort Kent
161,Maine,Gorham,University of Southern Maine
162,Maine,"Lewiston, Maine",Bates College
163,Maine,Orono,University of Maine
164,Maine,Waterville,"Thomas College, Colby College"
165,Maryland,Annapolis,"United States Naval Academy, St. John's College"
166,Maryland,Chestertown,Washington College
167,Maryland,College Park,"University of Maryland, College Park"
168,Maryland,Cumberland,Allegany College of Maryland
169,Maryland,Emmitsburg,Mount St. Mary's University
170,Maryland,Frostburg,Frostburg State University
171,Maryland,Princess Anne,University of Maryland Eastern Shore
172,Maryland,Towson,"Towson University, Goucher College"
173,Maryland,Salisbury,Salisbury University
174,Maryland,Westminster,McDaniel College
175,Massachusetts,Boston,"Boston University, Boston College, Boston Conservatory, New England Conservatory, Brandeis University, Northeastern University, UMass Boston, Emmanuel College, Bunker Hill Community College, Roxbury Community College, Suffolk University, Simmons College, among many others"
176,Massachusetts,Bridgewater,Bridgewater State College
177,Massachusetts,Cambridge,"Harvard University, Massachusetts Institute of Technology(Lesley University, Cambridge College, Longy School of Music"
178,Massachusetts,Chestnut Hill,Boston College
179,The Colleges of Worcester Consortium:,Dudley,Nichols College
180,The Colleges of Worcester Consortium:,North Grafton,Cummings School of Veterinary Medicine at Tufts University
181,The Colleges of Worcester Consortium:,Paxton,Anna Maria College
182,The Colleges of Worcester Consortium:,Worcester,"Assumption, Becker, Clark University, Holy Cross, Mass. College of Pharmacy & Health Sciences, Quinsigamond Community College, UMass Medical School, Worcester State University, Worcester Polytechnic Institute"
183,The Five College Region of Western Massachusetts:,Amherst,"Amherst College, Hampshire College, University of Massachusetts Amherst"
184,The Five College Region of Western Massachusetts:,Northampton,Smith College
185,The Five College Region of Western Massachusetts:,South Hadley,Mount Holyoke College
186,The Five College Region of Western Massachusetts:,Fitchburg,Fitchburg State College
187,The Five College Region of Western Massachusetts:,North Adams,Massachusetts College of Liberal Arts
188,The Five College Region of Western Massachusetts:,Springfield,"American International College,"
189,The Five College Region of Western Massachusetts:,Waltham,"Bentley University,"
190,The Five College Region of Western Massachusetts:,Williamstown,Williams College
191,The Five College Region of Western Massachusetts:,Framingham,Framingham State University
192,Michigan,Adrian,"Adrian College, Siena Heights University"
193,Michigan,Albion,Albion College
194,Michigan,Allendale,Grand Valley State University
195,Michigan,Alma,Alma College
196,Michigan,Ann Arbor,University of Michigan
197,Michigan,Berrien Springs,Andrews University
198,Michigan,Big Rapids,Ferris State University
199,Michigan,East Lansing,Michigan State University
200,Michigan,Flint,"Kettering University, University of Michigan-Flint"
201,Michigan,Hillsdale,Hillsdale College
202,Michigan,Houghton,Michigan Technological University
203,Michigan,Kalamazoo,"Western Michigan University, Kalamazoo College"
204,Michigan,Marquette,Northern Michigan University
205,Michigan,Midland,Northwood University
206,Michigan,Mount Pleasant,Central Michigan University
207,Michigan,Olivet,Olivet College
208,Michigan,Saginaw,Saginaw Valley State University
209,Michigan,Sault Ste. Marie,Lake Superior State University
210,Michigan,Spring Arbor,Spring Arbor University
211,Michigan,Ypsilanti,Eastern Michigan University
212,Minnesota,Bemidji,Bemidji State University
213,Minnesota,Crookston,University of Minnesota Crookston
214,Minnesota,Duluth,"University of Minnesota Duluth, Lake Superior College, The College of St. Scholastica, University of Wisconsin–Superior, Duluth Business University"
215,"Faribault, South Central College",Mankato,"Minnesota State University, Mankato, Bethany Lutheran College"
216,"Faribault, South Central College",Marshall,Southwest Minnesota State University
217,"Faribault, South Central College",Moorhead,"Minnesota State University, Moorhead, Concordia College"
218,"Faribault, South Central College",Morris,University of Minnesota Morris
219,"Faribault, South Central College",Northfield,"Carleton College, St. Olaf College"
220,"North Mankato, South Central College",St. Cloud,"St. Cloud State University, The College of St. Scholastica"
221,"North Mankato, South Central College",St. Joseph,College of Saint Benedict
222,"North Mankato, South Central College",St. Peter,Gustavus Adolphus College
223,"North Mankato, South Central College",Winona,"Winona State University, St. Mary's University of Minnesota"
224,Mississippi,Cleveland,Delta State University
225,Mississippi,Hattiesburg,University of Southern Mississippi
226,Mississippi,Itta Bena,Mississippi Valley State University
227,Mississippi,Oxford,University of Mississippi
228,Mississippi,Starkville,Mississippi State University
229,Missouri,Bolivar,Southwest Baptist University
230,Missouri,Cape Girardeau,Southeast Missouri State University
231,Missouri,Columbia,"University of Missouri, Stephens College, Columbia College"
232,Missouri,Fayette,Central Methodist University
233,Missouri,Fulton,Westminster College and William Woods University.
234,Missouri,Kirksville,"Truman State University, A. T. Still University"
235,Missouri,Maryville,Northwest Missouri State University
236,Missouri,Rolla,Missouri University of Science and Technology
237,Missouri,Warrensburg,University of Central Missouri
238,Montana,Bozeman,Montana State University
239,Montana,Dillon,University of Montana Western
240,Montana,Missoula,University of Montana
241,Nebraska,Chadron,Chadron State College
242,Nebraska,Crete,Doane College
243,Nebraska,Kearney,University of Nebraska at Kearney
244,Nebraska,Lincoln,University of Nebraska at Lincoln
245,Nebraska,Peru,Peru State College
246,Nebraska,Seward,Concordia University
247,Nebraska,Wayne,Wayne State College
248,Nevada,Las Vegas,"University of Nevada, Las Vegas"
249,Nevada,Reno,"University of Nevada, Reno"
250,New Hampshire,"New London, New Hampshire",Colby-Sawyer College
251,New Hampshire,Durham,University of New Hampshire
252,New Hampshire,Hanover,Dartmouth College
253,New Hampshire,Henniker,New England College
254,New Hampshire,Keene,Keene State College
255,New Hampshire,Plymouth,Plymouth State University
256,New Hampshire,Rindge,Franklin Pierce University
257,New Jersey,Ewing,"The College of New Jersey,"
258,New Jersey,Jersey City,"New Jersey City University,"
259,New Jersey,Glassboro,Rowan University
260,New Jersey,Hoboken,Stevens Institute of Technology
261,New Jersey,Madison,"Drew University,"
262,New Jersey,Newark,"Rutgers University,"
263,New Jersey,New Brunswick,Rutgers University
264,New Jersey,Princeton,Princeton University
265,New Jersey,Union,Kean University
266,New Jersey,West Long Branch,Monmouth University
267,New Mexico,Hobbs,University of the Southwest
268,New Mexico,Las Cruces,New Mexico State University
269,New Mexico,Las Vegas,New Mexico Highlands University
270,New Mexico,Portales,Eastern New Mexico University
271,New Mexico,Silver City,Western New Mexico University
272,New York,Alfred,"Alfred University, Alfred State College"
273,New York,Albany,"SUNY Albany, Siena College, Albany College of Pharmacy, Albany Law School, Albany Medical College, College of Saint Rose, Excelsior College, Maria College of Albany, Mildred Elley, Sage College of Albany"
274,New York,Aurora,Wells College
275,New York,Binghamton,Binghamton University
276,New York,Brockport,SUNY Brockport
277,New York,Buffalo,University at Buffalo
278,New York,Canton,"St. Lawrence University, SUNY Canton"
279,New York,Clinton,Hamilton College
280,New York,Cobleskill,SUNY Cobleskill
281,New York,Delhi,SUNY Delhi
282,New York,Fredonia,SUNY Fredonia
283,New York,Geneseo,SUNY Geneseo
284,New York,Geneva,Hobart and William Smith Colleges
285,New York,Hamilton,Colgate University
286,New York,Ithaca,"Cornell University, Ithaca College"
287,New York,"Morningside Heights, Manhattan","Columbia University, Barnard College, Teachers College, Manhattan School of Music, Jewish Theological Seminary, Union Theological Seminary, Bank Street College of Education"
288,New York,New Paltz,SUNY New Paltz
289,New York,Oneonta,"SUNY Oneonta, Hartwick College"
290,New York,Oswego,SUNY Oswego
291,New York,Plattsburgh,SUNY Plattsburgh
292,New York,Potsdam,"SUNY Potsdam, Clarkson University"
293,New York,Poughkeepsie,"Vassar College, Marist College"
294,New York,Purchase,"Purchase College, Manhattanville College"
295,New York,Rochester,"University of Rochester, Rochester Institute of Technology, Nazareth College, St. John Fisher College, Monroe Community College, Roberts Wesleyan College, SUNY Brockport, SUNY Empire State College"
296,New York,Saratoga Springs,Skidmore College
297,New York,Seneca Falls,New York Chiropractic College
298,New York,Stony Brook,Stony Brook University
299,New York,Syracuse,"Syracuse University, SUNY ESF, Upstate Medical University"
300,New York,Tivoli,Bard College
301,New York,Troy,"Rensselaer Polytechnic Institute, Russell Sage College, Hudson Valley Community College"
302,New York,West Point,United States Military Academy
303,North Carolina,Banner Elk,Lees-McRae College
304,North Carolina,Boiling Springs,Gardner-Webb University
305,North Carolina,Boone,Appalachian State University
306,North Carolina,Buies Creek,Campbell University
307,North Carolina,Chapel Hill,University of North Carolina at Chapel Hill
308,North Carolina,Cullowhee,Western Carolina University
309,North Carolina,Davidson,Davidson College
310,North Carolina,Durham,"Duke University, North Carolina Central University"
311,North Carolina,Elon,Elon University
312,North Carolina,Greensboro,"University of North Carolina at Greensboro, Greensboro College, Guilford College, North Carolina A & T State University, Bennett College"
313,North Carolina,Greenville,East Carolina University
314,North Carolina,Hickory,Lenoir-Rhyne University
315,North Carolina,Mars Hill,Mars Hill College
316,North Carolina,Mount Olive,Mount Olive College
317,North Carolina,Pembroke,University of North Carolina at Pembroke
318,North Carolina,"Wilmington, North Carolina",University of North Carolina at Wilmington
319,North Carolina,Wingate,Wingate University
320,North Carolina,Winston-Salem,"Wake Forest University, University of North Carolina School of the Arts, Salem College, Winston-Salem State University"
321,North Dakota,Fargo,North Dakota State University
322,North Dakota,Grand Forks,University of North Dakota
323,Ohio,Ada,Ohio Northern University
324,Ohio,Alliance,University of Mount Union
325,Ohio,Ashland,Ashland University
326,Ohio,Athens,Ohio University
327,Ohio,Berea,Baldwin Wallace College
328,Ohio,Bluffton,Bluffton University
329,Ohio,Bowling Green,Bowling Green State University
330,Ohio,Cedarville,Cedarville University
331,Ohio,Columbus,Ohio State University
332,Ohio,Delaware,Ohio Wesleyan University
333,Ohio,Fairborn,Wright State University
334,Ohio,Findlay,University of Findlay
335,Ohio,Gambier,Kenyon College
336,Ohio,Granville,Denison University
337,Ohio,Hiram,Hiram College
338,Ohio,Kent,Kent State University
339,Ohio,Nelsonville,Hocking College
340,Ohio,New Concord,Muskingum College
341,Ohio,Oberlin,Oberlin College
342,Ohio,Oxford,Miami University
343,Ohio,Rio Grande,University of Rio Grande
344,Ohio,Wilberforce,"Wilberforce University, Central State University"
345,Oklahoma,Ada,East Central University
346,Oklahoma,Alva,Northwestern Oklahoma State University
347,Oklahoma,Durant,Southeastern Oklahoma State University
348,Oklahoma,Edmond,"University of Central Oklahoma, Oklahoma Christian University"
349,Oklahoma,Goodwell,Oklahoma Panhandle State University
350,Oklahoma,Langston,Langston University
351,Oklahoma,Norman,University of Oklahoma
352,Oklahoma,Stillwater,Oklahoma State University
353,Oklahoma,Tahlequah,Northeastern State University
354,Oklahoma,Tulsa,The University of Tulsa
355,Oklahoma,Weatherford,Southwestern Oklahoma State University
356,Oregon,Ashland,Southern Oregon University
357,Oregon,Corvallis,Oregon State University
358,Oregon,Eugene,"Lane Community College, Northwest Christian University, University of Oregon"
359,Oregon,Forest Grove,Pacific University
360,Oregon,Klamath Falls,"Klamath Community College, Oregon Institute of Technology"
361,Oregon,La Grande,Eastern Oregon University
362,Oregon,Marylhurst,Marylhurst University
363,Oregon,McMinnville,Linfield College
364,Oregon,Monmouth,Western Oregon University
365,Oregon,Newberg,George Fox University
366,Pennsylvania,Altoona,Penn State Altoona
367,Pennsylvania,Annville,Lebanon Valley College
368,Pennsylvania,Bethlehem,"Lehigh University, Moravian College"
369,Pennsylvania,Bloomsburg,Bloomsburg University of Pennsylvania
370,Pennsylvania,Bradford,University of Pittsburgh at Bradford
371,Pennsylvania,California,California University of Pennsylvania
372,Pennsylvania,Carlisle,Dickinson College
373,Pennsylvania,"Cecil B. Moore, Philadelphia, also known as ""Templetown""",Temple University
374,Pennsylvania,Clarion,Clarion University of Pennsylvania
375,Pennsylvania,Collegeville,Ursinus College
376,Pennsylvania,Cresson,Mount Aloysius College
377,Pennsylvania,East Stroudsburg,East Stroudsburg University of Pennsylvania
378,Pennsylvania,Edinboro,Edinboro University of Pennsylvania
379,Pennsylvania,Erie,"Gannon University, Mercyhurst College, Penn State Erie"
380,Pennsylvania,Gettysburg,Gettysburg College
381,Pennsylvania,Greensburg,"Seton Hill University, University of Pittsburgh at Greensburg"
382,Pennsylvania,Grove City,Grove City College
383,Pennsylvania,Huntingdon,Juniata College
384,Pennsylvania,Indiana,Indiana University of Pennsylvania
385,Pennsylvania,Johnstown,University of Pittsburgh at Johnstown
386,Pennsylvania,Kutztown,Kutztown University of Pennsylvania
387,Pennsylvania,Lancaster,Franklin & Marshall
388,Pennsylvania,Lewisburg,Bucknell University
389,Pennsylvania,Lock Haven,Lock Haven University of Pennsylvania
390,Pennsylvania,Loretto,St. Francis University
391,Pennsylvania,Mansfield,Mansfield University of Pennsylvania
392,Pennsylvania,Meadville,Allegheny College
393,Pennsylvania,Mont Alto,Penn State Mont Alto
394,Pennsylvania,Millersville,Millersville University of Pennsylvania
395,Pennsylvania,New Wilmington,Westminster College
396,Pennsylvania,North East,Mercyhurst North East
397,Pennsylvania,"University City, Philadelphia","Drexel University, University of Pennsylvania, University of the Sciences in Philadelphia"
398,Pennsylvania,"Oakland, Pittsburgh","Carnegie Mellon University, University of Pittsburgh, Carlow University"
399,Pennsylvania,Reading,"Albright College, Alvernia University, Penn State Berks"
400,Pennsylvania,Selinsgrove,Susquehanna University
401,Pennsylvania,Shippensburg,Shippensburg University of Pennsylvania
402,Pennsylvania,Slippery Rock,Slippery Rock University of Pennsylvania
403,Pennsylvania,State College,Pennsylvania State University
404,Pennsylvania,Villanova,Villanova University
405,Pennsylvania,Waynesburg,Waynesburg University
406,Pennsylvania,West Chester,West Chester University of Pennsylvania
407,Pennsylvania,Wilkes-Barre,"King's College, Wilkes University"
408,Pennsylvania,Williamsport,"Lycoming College, Pennsylvania College of Technology"
409,Rhode Island,Kingston,University of Rhode Island
410,Rhode Island,Providence,"Brown University,"
411,South Carolina,Central,Southern Wesleyan University
412,South Carolina,Charleston,"College of Charleston, The Citadel, MUSC"
413,South Carolina,Clemson,Clemson University
414,South Carolina,Clinton,Presbyterian College
415,South Carolina,Columbia,University of South Carolina
416,South Carolina,Due West,Erskine College
417,South Carolina,Florence,Francis Marion University
418,South Carolina,Greenwood,Lander University
419,South Carolina,Orangeburg,"South Carolina State University, Claflin University"
420,South Carolina,Rock Hill,Winthrop University
421,South Carolina,Spartanburg,"Wofford College, Converse College, University of South Carolina Upstate, Spartanburg Methodist College, Edward Via College of Osteopathic Medicine, Spartanburg Community College, Virginia College, Sherman College of Chiropractic"
422,South Dakota,Brookings,South Dakota State University
423,South Dakota,Madison,Dakota State University
424,South Dakota,Spearfish,Black Hills State University
425,South Dakota,Vermillion,University of South Dakota
426,Tennessee,Chattanooga,University of Tennessee at Chattanooga
427,Tennessee,Collegedale,Southern Adventist University
428,Tennessee,Cookeville,Tennessee Technological University
429,Tennessee,Harrogate,Lincoln Memorial University
430,Tennessee,Henderson,Freed-Hardeman University
431,Tennessee,Johnson City,East Tennessee State University
432,Tennessee,Knoxville,University of Tennessee
433,Tennessee,Martin,University of Tennessee at Martin
434,Tennessee,McKenzie,Bethel University
435,Tennessee,Memphis,"Christian Brothers University, LeMoyne-Owen College, Memphis College of Art, Memphis Theological Seminary, Rhodes College, Southern College of Optometry, Southwest Tennessee Community College, University of Memphis, University of Tennessee Health Science Center, Visible Music College"
436,Tennessee,Murfreesboro,Middle Tennessee State University
437,Tennessee,Nashville,"Vanderbilt University, Belmont University, Tennessee State University, Lipscomb University, Fisk University, Aquinas College, Trevecca Nazarene University"
438,Tennessee,Sewanee,Sewanee: the University of the South
439,Texas,Abilene,"Abilene Christian University, Hardin-Simmons University, McMurry University"
440,Texas,Alpine,Sul Ross State University
441,Texas,Austin,"University of Texas at Austin, St. Edwards University, Huston-Tillotson University"
442,Texas,Beaumont,Lamar University
443,Texas,Canyon,West Texas A&M University
444,Texas,College Station,Texas A&M University
445,Texas,Commerce,Texas A&M University–Commerce
446,Texas,Dallas,Southern Methodist University
447,Texas,Denton,"University of North Texas, Texas Woman's University"
448,Texas,Fort Worth,"Texas Christian University, Texas Wesleyan University"
449,Texas,Georgetown,Southwestern University
450,Texas,Huntsville,Sam Houston State University
451,Texas,Houston,"University of Houston, Texas Southern University, Rice University, Houston Baptist University"
452,Texas,Keene,Southwestern Adventist University
453,Texas,Kingsville,Texas A&M University–Kingsville
454,Texas,Lubbock,"Texas Tech University, Lubbock Christian University"
455,Texas,Nacogdoches,Stephen F. Austin State University
456,Texas,Plainview,Wayland Baptist University
457,Texas,Prairie View,Prairie View A&M University
458,Texas,San Marcos,Texas State University
459,Texas,Stephenville,Tarleton State University
460,Texas,Waco,Baylor University
461,Utah,Cedar City,Southern Utah University
462,Utah,Logan,Utah State University
463,Utah,Provo,Brigham Young University
464,Utah,Orem,Utah Valley University
465,Utah,Salt Lake City,University of Utah
466,Utah,Ephraim,Snow College
467,Vermont,Burlington,"University of Vermont, Champlain College and Saint Michael's College"
468,Vermont,Castleton,Castleton State College
469,Vermont,Johnson,Johnson State College
470,Vermont,Lyndonville,Lyndon State College
471,Vermont,Middlebury,Middlebury College
472,Vermont,Northfield,Norwich University
473,Virginia,Blacksburg,Virginia Polytechnic Institute and State University
474,Virginia,Bridgewater,Bridgewater College
475,Virginia,Charlottesville,University of Virginia
476,Virginia,Farmville,"Longwood University, Hampden-Sydney College"
477,Virginia,Fredericksburg,University of Mary Washington
478,Virginia,Harrisonburg,"James Madison University, Eastern Mennonite University"
479,Virginia,Lexington,"Washington and Lee University, Virginia Military Institute"
480,Virginia,Lynchburg,"Lynchburg College, Randolph College, Liberty University, Central Virginia Community College"
481,Virginia,Radford,Radford University
482,Virginia,Williamsburg,The College of William & Mary
483,Virginia,Wise,University of Virginia's College at Wise
484,Virginia,Chesapeake,"Averett University, DeVry University, Troy University, Tidewater Community College, Strayer University, Everest University, Sentera College of Health Sciences, St Leo University"
485,Washington,Bellingham,Western Washington University
486,Washington,Cheney,Eastern Washington University
487,Washington,Ellensburg,Central Washington University
488,Washington,Pullman,Washington State University
489,Washington,"University District, Seattle",University of Washington
490,West Virginia,Athens,Concord University
491,West Virginia,Buckhannon,West Virginia Wesleyan College
492,West Virginia,Fairmont,Fairmont State University
493,West Virginia,Glenville,Glenville State College
494,West Virginia,Huntington,Marshall University
495,West Virginia,Montgomery,West Virginia University Institute of Technology
496,West Virginia,Morgantown,West Virginia University
497,West Virginia,Shepherdstown,Shepherd University
498,West Virginia,West Liberty,West Liberty University
499,Wisconsin,Appleton,Lawrence University
500,Wisconsin,Eau Claire,University of Wisconsin–Eau Claire
501,Wisconsin,Green Bay,University of Wisconsin-Green Bay
502,Wisconsin,La Crosse,"University of Wisconsin–La Crosse, Western Technical College, Viterbo University"
503,Wisconsin,Madison,University of Wisconsin–Madison
504,Wisconsin,Menomonie,University of Wisconsin–Stout
505,Wisconsin,Milwaukee,"Marquette University, University of Wisconsin–Milwaukee"
506,Wisconsin,Oshkosh,University of Wisconsin–Oshkosh
507,Wisconsin,Platteville,University of Wisconsin–Platteville
508,Wisconsin,River Falls,University of Wisconsin–River Falls
509,Wisconsin,Stevens Point,University of Wisconsin–Stevens Point
510,Wisconsin,Waukesha,Carroll University
511,Wisconsin,Whitewater,University of Wisconsin–Whitewater
512,Wyoming,Laramie,University of Wyoming
